お住まいの地域を教えてください。,あなたの年代を教えてください。,セミナーを知ったきっかけを教えてください。,有料のセミナーを受講いただいたことはございますでしょうか。,自己学習について、1日で平均どのくらいの時間学習されていますでしょうか。,コロナウイルス禍により、皆様のライフスタイルも大きく変わったこととと存じます。平日のオンラインセミナーの開始時間につきまして、もっともご参加いただきやすいものをお選びください。,オンラインセミナーの所要時間について、皆様が参加しやすいと感じられるものをお選びください。（複数選択可）,セミナーに参加する頻度は、どのくらいが望ましいでしょうか。,その他ご意見・今後あれば受講したいセミナー等ございましたらご記入ください。いただいた内容は、今後の参考にさせていただきます。
関東,40代,SNS,2度以上参加したことがある,30分〜1時間,18時半〜,60分,月2回,いつも面白いコンテンツを有難うございます
関東,40代,セミナー募集サイト,2度以上参加したことがある,15分以下,19時,2時間,毎週（月4回）,Processing やp5.jsを教えていただきたいです。5000名突破おめでとうございます。特別価格の3つのコースは学んだことがあるため、別コースで割引があると嬉しいです。
中国・四国,40代,SNS,2度以上参加したことがある,1時間〜2時間,19時,90分,月2回,ベイズ統計
中国・四国,50代,SNS,2度以上参加したことがある,15分以下,日中（12時〜17時ごろ）,90分,月1回,ニューラルネットワーク、サンプルサイズ計算、やや複雑な統計解析手法
関東,40代,SNS,1度参加したことがある,1時間〜2時間,日中（12時〜17時ごろ）,2時間,月1回,時系列データの分析（状態空間モデルなど）のセミナー
関西,50代,セミナー募集サイト,一度もない,15分〜30分,19時半,90分,月1回,オンラインセミナーに、Teamsで参加できるようにして欲しい。
関東,50代,セミナー募集サイト,一度もない,30分〜1時間,20時,60分;90分,毎週（月4回）,機械学習を使えるようになりたい
関東,50代,SNS,2度以上参加したことがある,15分〜30分,19時半,90分,月2回,音声認識について学びたい。
関東,40代,セミナー募集サイト,2度以上参加したことがある,30分〜1時間,20時,90分,月2回,平日は遅めに始めていただいた方が参加しやすいです。
関西,40代,セミナー募集サイト,一度もない,15分〜30分,20時以降,90分,毎週（月4回）,GANの実装のセミナーがあると参加したいです。
関東,30代,SNS,1度参加したことがある,30分〜1時間,20時,90分,月3回;月2回;月1回,リアルでのセミナーも今後可能になれば復活してほしい。
関西,40代,SNS,2度以上参加したことがある,30分〜1時間,19時半,90分,毎週（月4回）,今回のキャンペーンにはスケジュールが合わないので参加できませんがまたこのような機会があればお願いします。
関東,50代,SNS,2度以上参加したことがある,30分〜1時間,19時半,90分,月2回,統計検定1級を目指していますので、1級の内容の講座を希望します。
北海道,30代,セミナー募集サイト,1度参加したことがある,それ以上,20時,90分,月2回;月1回,アンケートの分析について、必要なデータ数や項目について学びたい。
北海道,30代,SNS,2度以上参加したことがある,15分以下,18時半〜,60分,月2回,Pythonを使った効率改善やレポーティング方法について知りたい。
関東,30代,SNS,一度もない,30分〜1時間,19時,60分,毎週（月4回）,テキスト情報を分析できる方法があれば知りたいです。
関西,40代,セミナー募集サイト,2度以上参加したことがある,30分〜1時間,20時以降,60分;90分,毎週（月4回）,R・SQLの講座を希望します。
関東,40代,SNS,2度以上参加したことがある,15分以下,19時,2時間,月1回,テキストのディープラーニング
関東,20代,知人・同僚,2度以上参加したことがある,15分以下,19時,60分,毎週（月4回）;月3回;月2回,会社の同僚に勧められて受講しましたが、とても楽しく学べるので、私も知り合いに紹介しています。
関西,40代,SNS,1度参加したことがある,30分〜1時間,19時半,90分,月3回,機械学習に関する数学、数学検定、統計検定
関東,50代,SNS,2度以上参加したことがある,15分〜30分,19時半,2時間,月3回,テキストデータの分析をデータの収集から行えるようになるセミナー
関東,30代,SNS,2度以上参加したことがある,15分以下,18時半〜,90分,毎週（月4回）,データ同士の因果関係をどう読み取るか
関東,40代,セミナー募集サイト,2度以上参加したことがある,30分〜1時間,20時以降,2時間,毎週（月4回）,算数の学び直しができるセミナーをお願いします。
中部・甲信越,40代,セミナー募集サイト,2度以上参加したことがある,1時間〜2時間,18時,60分;90分,月2回,授業で作ったアートをパワポの資料や会社の広告に活用しています！
関東,30代,SNS,2度以上参加したことがある,それ以上,19時,60分;90分;2時間,毎週（月4回）;月2回,数学がどのように役に立っているかを学べるセミナーがあれば参加したいです。
海外,40代,セミナー募集サイト,一度もない,15分以下,日中（12時〜17時ごろ）,60分;90分,月2回,日本円以外での支払（例：米ドル）が可能になると、海外からの参加者も増えるかと思います。是非ご検討いただけると幸いです。
中部・甲信越,50代,SNS,一度もない,15分以下,20時,90分;2時間,月2回,Pythonを使ってプログラミングができるようになりたい
関東,40代,セミナー募集サイト,1度参加したことがある,30分〜1時間,日中（12時〜17時ごろ）,90分,毎週（月4回）,役に立つ算数・数学
関東,40代,セミナー募集サイト,一度もない,それ以上,日中（12時〜17時ごろ）,90分,毎週（月4回）,〇〇セミナーの開催日程が少なく、日程を合わせるのが難しいので、開催日程のオプションをもっと増やして欲しいです。
関東,30代,SNS,2度以上参加したことがある,30分〜1時間,日中（12時〜17時ごろ）,60分,毎週（月4回）;月3回,"算数、数学を学問的な意味合いで全体像を学ぶセミナーがあれば参加したいです。
1:子供の算数対策の為に、図形、四則演算、他で、何をすれば良いのか。
2:関数、図形、確率など、色んな分野があるが、算数数学ではこれがどう繋がって世の中に利用されているか"
関西,30代,SNS,2度以上参加したことがある,15分以下,20時以降,90分,毎週（月4回）,R言語のセミナーがあれば参加したいです。
中国・四国,20代,知人・同僚,2度以上参加したことがある,15分〜30分,20時,60分,月1回,テキストを分類を行いたい（BERTモデルなど）。
関西,30代,セミナー募集サイト,2度以上参加したことがある,15分以下,19時,60分,毎週（月4回）;月3回;月2回,
関東,40代,SNS,一度もない,1時間〜2時間,20時以降,90分,月1回,機械学習の実装について
関東,30代,知人・同僚,1度参加したことがある,30分〜1時間,18時半〜,90分,月2回,中学数学や高校数学
中部・甲信越,20代,セミナー募集サイト,一度もない,15分〜30分,日中（12時〜17時ごろ）,2時間,毎週（月4回）;月3回,平日日中開催のセミナーが増えると参加しやすいです。
関東,50代,SNS,2度以上参加したことがある,15分〜30分,19時,60分,月2回,状態空間モデル
中国・四国,30代,セミナー募集サイト,2度以上参加したことがある,1時間〜2時間,18時,60分;90分,月3回,分析で交絡要因を読む取るのがとても難しいです。
関東,40代,知人・同僚,1度参加したことがある,15分以下,20時,60分;90分,毎週（月4回）;月2回,機械学習でどのモデルを選べばいいのか知りたい